                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6321,                 3.5563,                  1.391,                0.00344,                0.96875,                0.34641,                0.19683,                 1.5369,                 3.7957,                  1.153,                0.00038,                0.00038,                0.00038
                      2,                 1.4565,                 2.0194,                 1.2183,                0.00278,                0.78125,                0.16898,                 0.0889,                  1.498,                 4.1897,                 1.1837,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.5643,                 1.9787,                 1.2755,                0.31279,                  0.125,                 0.1063,                 0.0411,                 1.7093,                 4.1583,                 1.3957,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.5199,                 1.9321,                 1.3404,                0.69146,                 0.3125,                0.44625,                0.23735,                 1.7271,                 3.6115,                 1.3806,              0.0015331,              0.0015331,              0.0015331
                      5,                 1.5873,                 1.9266,                 1.3751,                0.62629,                    0.5,                0.57852,                 0.3097,                 1.5862,                 2.7785,                  1.308,              0.0019016,              0.0019016,              0.0019016
                      6,                 1.5159,                 1.7778,                  1.316,                0.77353,                 0.5625,                0.64829,                0.37658,                 1.4523,                  2.061,                 1.3096,               0.001901,               0.001901,               0.001901
                      7,                  1.581,                 1.7296,                 1.3037,                0.69284,                 0.4375,                0.40341,                0.21457,                 1.6178,                 2.8055,                 1.2777,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5121,                  1.545,                 1.3011,                0.53231,                0.40625,                0.32525,                0.19073,                 1.5212,                 3.0537,                 1.3351,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5815,                 1.5201,                 1.3231,                0.12217,                0.34375,                0.09305,                0.04071,                 1.7056,                 3.4992,                 1.4839,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.529,                 1.4364,                 1.2923,                0.41205,                    0.5,                0.31675,                0.16616,                 1.6657,                  2.877,                 1.3327,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4845,                 1.3597,                 1.2536,                0.69509,                    0.5,                0.48545,                0.26853,                 1.6092,                 2.7813,                 1.3178,               0.001802,               0.001802,               0.001802
                     12,                  1.491,                 1.3789,                 1.2745,                0.23153,                0.65625,                0.25405,                0.13505,                 1.5431,                 4.1867,                 1.2442,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5083,                 1.2911,                  1.282,                0.95587,                 0.6875,                0.81086,                0.45762,                  1.466,                 1.4753,                 1.1999,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4913,                  1.255,                 1.2925,                0.89329,                 0.5235,                0.67673,                0.35328,                 1.7478,                 1.9293,                  1.302,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4314,                 1.1777,                 1.2289,                0.80399,                    0.5,                0.59384,                 0.3279,                 1.5488,                 1.4955,                 1.3211,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4547,                 1.1729,                 1.2749,                0.75575,                0.65625,                0.78661,                0.40243,                 1.7078,                 1.3485,                  1.457,               0.001703,               0.001703,               0.001703
                     17,                 1.4745,                 1.1252,                 1.2637,                0.77715,                0.78125,                0.83291,                0.47188,                 1.4579,                 1.1526,                 1.2385,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.4688,                 1.0972,                 1.2284,                0.94005,                  0.625,                0.85082,                0.45977,                 1.5969,                 1.1594,                 1.2646,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3309,                 1.0571,                 1.2067,                0.87989,                0.68682,                0.74925,                0.46205,                 1.3692,                  1.143,                 1.2443,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3877,                 1.0828,                 1.2427,                      1,                0.61784,                0.81435,                0.46375,                 1.4584,                 1.0439,                 1.2321,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3718,                 1.0308,                 1.2152,                0.84809,                 0.6981,                0.76935,                0.45539,                  1.587,                 1.1448,                 1.2932,               0.001604,               0.001604,               0.001604
                     22,                 1.4318,                 1.0326,                  1.215,                0.91014,                0.65625,                0.81646,                0.48036,                 1.4549,                 1.1364,                 1.1746,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4027,                0.98506,                  1.193,                0.95434,                0.65625,                0.78723,                 0.4734,                 1.3901,                 1.1384,                 1.1508,              0.0015644,              0.0015644,              0.0015644
